date,sport,game_id,bet_type,legs,bet_label,odds,true_prob,implied_prob,edge,grade,kelly_frac,bet_amount,bankroll_before,result,pnl,bankroll_after,notes
2026-05-10,MLB,824765,single,1,光芒 勝,2.107,0.5821,0.4746,0.1075,A,0.0307,150,3000.0,WIN,166.0,3166.0,
2026-05-10,MLB,823221,single,1,海盜 勝,2.313,0.5339,0.4323,0.1016,A,0.0268,140,3166.0,LOSS,-140,3026.0,
2026-05-10,MLB,825085,single,1,AZ 勝,2.223,0.5318,0.4498,0.0819,A,0.0223,110,3026.0,WIN,135.0,3161.0,
2026-05-10,MLB,823954,single,1,道奇 勝,2.135,0.5319,0.4684,0.0635,B,0.0143,80,3161.0,LOSS,-80,3081.0,
2026-05-10,PARLAY,824765+823221,2-parlay,2,2-串（光芒 勝、海盜 勝）,4.873,0.3108,0.2052,0.5147,PARLAY,0.0133,40,3081.0,LOSS,-40,3041.0,
2026-05-10,PARLAY,823221+825085,2-parlay,2,2-串（海盜 勝、AZ 勝）,5.142,0.2839,0.1945,0.4598,PARLAY,0.0111,30,3041.0,LOSS,-30,3011.0,
2026-05-10,PARLAY,824765+823221+825085,3-parlay,3,3-串（光芒 勝、海盜 勝、AZ 勝）,10.834,0.1653,0.0923,0.7905,PARLAY,0.008,20,3011.0,LOSS,-20,2991.0,
2026-05-10,PARLAY,824765+823221+823954,3-parlay,3,3-串（光芒 勝、海盜 勝、道奇 勝）,10.405,0.1653,0.0961,0.72,PARLAY,0.0077,20,2991.0,LOSS,-20,2971.0,
2026-05-11,MLB,823953,single,1,道奇 勝,2.642,0.4896,0.3785,0.1111,A,0.0268,130,2971.0,LOSS,-130,2841.0,
2026-05-11,MLB,824199,single,1,太空人 勝,2.045,0.5942,0.489,0.1052,A,0.0309,150,2841.0,LOSS,-150,2691.0,
2026-05-11,PARLAY,823953+824199,2-parlay,2,2-串（道奇 勝、太空人 勝）,5.403,0.2909,0.1851,0.5719,PARLAY,0.013,30,2691.0,LOSS,-30,2661.0,
2026-05-12,MLB,824442,single,1,守護者 勝,2.34,0.5629,0.4274,0.1356,A,0.0355,160,2661.0,WIN,214.0,2875.0,
2026-05-12,MLB,824521,single,1,紅人 勝,2.174,0.5778,0.46,0.1178,A,0.0327,160,2875.0,LOSS,-160,2715.0,
2026-05-12,MLB,824843,single,1,金鶯 勝,2.434,0.475,0.4108,0.0642,B,0.0131,60,2715.0,LOSS,-60,2655.0,
2026-05-12,PARLAY,824442+824521,2-parlay,2,2-串（守護者 勝、紅人 勝）,5.087,0.3252,0.1966,0.6545,PARLAY,0.016,40,2655.0,LOSS,-40,2615.0,
2026-05-12,PARLAY,824442+824843,2-parlay,2,2-串（守護者 勝、金鶯 勝）,5.696,0.2674,0.1756,0.5229,PARLAY,0.0111,30,2615.0,LOSS,-30,2585.0,
2026-05-12,PARLAY,824442+824521+824843,3-parlay,3,3-串（守護者 勝、紅人 勝、金鶯 勝）,12.382,0.1545,0.0808,0.9128,PARLAY,0.008,20,2585.0,LOSS,-20,2565.0,
2026-05-13,MLB,823952,single,1,巨人 勝,2.815,0.4821,0.3552,0.1269,A,0.0295,130,2565.0,LOSS,-130,2435.0,
2026-05-14,MLB,824517,single,1,國民 勝,2.313,0.5423,0.4323,0.1099,A,0.029,120,2435.0,LOSS,-120,2315.0,
2026-05-14,MLB,824762,single,1,紅襪 勝,2.096,0.5424,0.4771,0.0653,B,0.015,60,2315.0,LOSS,-60,2255.0,
2026-05-14,PARLAY,824517+824762,2-parlay,2,2-串（國民 勝、紅襪 勝）,4.848,0.2941,0.2063,0.4259,PARLAY,0.0111,20,2255.0,LOSS,-20,2235.0,
2026-05-15,MLB,824439,single,1,守護者 勝,2.026,0.5738,0.4936,0.0802,A,0.0238,90,2235.0,LOSS,-90,2145.0,
2026-05-15,MLB,823061,single,1,皇家 勝,2.162,0.5258,0.4625,0.0633,B,0.0141,50,2145.0,LOSS,-50,2095.0,
2026-05-15,MLB,825009,single,1,巨人 勝,2.245,0.5044,0.4454,0.059,B,0.0128,40,2095.0,LOSS,-40,2055.0,
2026-05-15,MLB,823629,single,1,大都會 勝,2.436,0.4645,0.4105,0.054,B,0.011,40,2055.0,LOSS,-40,2015.0,
2026-05-15,PARLAY,824439+823061,2-parlay,2,2-串（守護者 勝、皇家 勝）,4.38,0.3017,0.2283,0.3216,PARLAY,0.0095,20,2015.0,LOSS,-20,1995.0,
2026-05-15,PARLAY,824439+825009,2-parlay,2,2-串（守護者 勝、巨人 勝）,4.548,0.2894,0.2199,0.3165,PARLAY,0.0089,20,1995.0,LOSS,-20,1975.0,
2026-05-15,PARLAY,824439+823061+825009,3-parlay,3,3-串（守護者 勝、皇家 勝、巨人 勝）,9.834,0.1522,0.1017,0.4966,PARLAY,0.0056,10.0,1975.0,LOSS,-10.0,1965.0,
2026-05-15,PARLAY,824439+823061+823629,3-parlay,3,3-串（守護者 勝、皇家 勝、大都會 勝）,10.67,0.1402,0.0937,0.4955,PARLAY,0.0051,10.0,1965.0,LOSS,-10.0,1955.0,
2026-05-16,MLB,824359,single,1,落磯 勝,2.505,0.6118,0.3992,0.2125,A,0.0531,160,1955.0,WIN,241.0,2196.0,
2026-05-16,MLB,824193,single,1,太空人 勝,2.106,0.6419,0.4748,0.167,A,0.0477,170,2196.0,WIN,188.0,2384.0,
2026-05-16,MLB,824435,single,1,紅人 勝,2.171,0.5162,0.4606,0.0556,B,0.0124,50,2384.0,LOSS,-50,2334.0,
2026-05-16,PARLAY,824359+824193,2-parlay,2,2-串（落磯 勝、太空人 勝）,5.276,0.3927,0.1895,1.0715,PARLAY,0.0251,60,2334.0,WIN,257.0,2591.0,
2026-05-16,PARLAY,824359+824435,2-parlay,2,2-串（落磯 勝、紅人 勝）,5.438,0.3158,0.1839,0.7173,PARLAY,0.0162,40,2591.0,LOSS,-40,2551.0,
2026-05-16,PARLAY,824359+824193+824435,3-parlay,3,3-串（落磯 勝、太空人 勝、紅人 勝）,11.453,0.2027,0.0873,1.3213,PARLAY,0.0126,30,2551.0,LOSS,-30,2521.0,
2026-05-17,MLB,822982,single,1,馬林魚 勝,2.453,0.4966,0.4077,0.089,A,0.0225,90,2521.0,LOSS,-90,2431.0,
2026-05-17,MLB,823381,single,1,費城人 勝,2.041,0.5449,0.49,0.055,B,0.0129,50,2431.0,WIN,52.0,2483.0,
2026-05-17,PARLAY,822982+823381,2-parlay,2,2-串（馬林魚 勝、費城人 勝）,5.007,0.2706,0.1997,0.355,PARLAY,0.0089,20,2483.0,LOSS,-20,2463.0,
