date,bankroll_open,total_bet,total_pnl,bankroll_close,bets_count,wins,losses,single_bets,parlay_bets,highest_odds_hit,notes
2026-05-10,3000.0,1100,-466.0,2534.0,17,2,15,2,15,4.684,
2026-05-11,2534.0,100,-130.0,2404.0,1,0,1,1,0,0.0,
2026-05-12,2404.0,950,-103.0,2301.0,17,3,14,2,15,4.495,
2026-05-13,2301.0,430,171.0,2472.0,15,4,11,0,15,15.2,
2026-05-14,2472.0,700,-650.0,1822.0,16,0,16,1,15,0.0,
2026-05-15,1822.0,540,-318.0,1504.0,17,2,15,2,15,3.711,
2026-05-16,1504.0,490,1690.0,3194.0,17,6,11,2,15,11.332,
2026-05-17,3194.0,1140,-1030.0,2164.0,16,0,16,1,15,0.0,
