date,sport,game_id,bet_type,legs,bet_label,odds,true_prob,implied_prob,edge,grade,kelly_frac,bet_amount,bankroll_before,result,pnl,bankroll_after,notes
2026-05-10,MLB,824765,single,1,光芒 勝,2.107,0.5821,0.4746,0.1075,A,0.0512,150,3000.0,WIN,166.0,3166.0,
2026-05-10,MLB,823221,single,1,海盜 勝,2.313,0.5339,0.4323,0.1016,A,0.0447,140,3166.0,LOSS,-140,3026.0,
2026-05-10,MLB,824520,single,1,太空人 勝,1.937,0.6091,0.5163,0.0928,A,0.048,150,3026.0,LOSS,-150,2876.0,
2026-05-10,MLB,825085,single,1,AZ 勝,2.223,0.5318,0.4498,0.0819,A,0.0372,110,2876.0,WIN,135.0,3011.0,
2026-05-10,PARLAY,824765+823221,2-parlay,2,2-串（光芒 勝、海盜 勝）,4.873,0.3108,0.2052,0.5147,PARLAY,0.0199,60,3011.0,LOSS,-60,2951.0,
2026-05-10,PARLAY,823221+825085,2-parlay,2,2-串（海盜 勝、AZ 勝）,5.142,0.2839,0.1945,0.4598,PARLAY,0.0167,50,2951.0,LOSS,-50,2901.0,
2026-05-10,PARLAY,823221+824520,2-parlay,2,2-串（海盜 勝、太空人 勝）,4.48,0.3252,0.2232,0.4569,PARLAY,0.0197,60,2901.0,LOSS,-60,2841.0,
2026-05-10,PARLAY,824765+823221+825085,3-parlay,3,3-串（光芒 勝、海盜 勝、AZ 勝）,10.834,0.1653,0.0923,0.7905,PARLAY,0.0121,30,2841.0,LOSS,-30,2811.0,
2026-05-10,PARLAY,824765+823221+824520,3-parlay,3,3-串（光芒 勝、海盜 勝、太空人 勝）,9.44,0.1893,0.1059,0.787,PARLAY,0.014,40,2811.0,LOSS,-40,2771.0,
2026-05-10,PARLAY,823221+824520+825085,3-parlay,3,3-串（海盜 勝、太空人 勝、AZ 勝）,9.96,0.1729,0.1004,0.7222,PARLAY,0.0121,30,2771.0,LOSS,-30,2741.0,
2026-05-11,MLB,824199,single,1,太空人 勝,2.045,0.5942,0.489,0.1052,A,0.0515,140,2741.0,LOSS,-140,2601.0,
2026-05-12,MLB,824442,single,1,守護者 勝,2.34,0.5629,0.4274,0.1356,A,0.0592,150,2601.0,WIN,201.0,2802.0,
2026-05-12,MLB,824521,single,1,紅人 勝,2.174,0.5778,0.46,0.1178,A,0.0545,150,2802.0,LOSS,-150,2652.0,
2026-05-12,MLB,822817,single,1,光芒 勝,1.794,0.6175,0.5574,0.0601,B,0.0271,70,2652.0,WIN,56.0,2708.0,
2026-05-12,MLB,823712,single,1,雙城 勝,1.921,0.5717,0.5206,0.0512,B,0.0214,60,2708.0,WIN,55.0,2763.0,
2026-05-12,PARLAY,824442+824521,2-parlay,2,2-串（守護者 勝、紅人 勝）,5.087,0.3252,0.1966,0.6545,PARLAY,0.024,70,2763.0,LOSS,-70,2693.0,
2026-05-12,PARLAY,824442+822817,2-parlay,2,2-串（守護者 勝、光芒 勝）,4.198,0.3476,0.2382,0.4591,PARLAY,0.0215,60,2693.0,WIN,192.0,2885.0,
2026-05-12,PARLAY,824442+825011,2-parlay,2,2-串（守護者 勝、ATH 勝）,4.837,0.3003,0.2067,0.4526,PARLAY,0.0177,50,2885.0,LOSS,-50,2835.0,
2026-05-12,PARLAY,824442+824521+822817,3-parlay,3,3-串（守護者 勝、紅人 勝、光芒 勝）,9.126,0.2008,0.1096,0.8328,PARLAY,0.0154,40,2835.0,LOSS,-40,2795.0,
2026-05-12,PARLAY,824442+824521+825011,3-parlay,3,3-串（守護者 勝、紅人 勝、ATH 勝）,10.515,0.1735,0.0951,0.8246,PARLAY,0.013,40,2795.0,LOSS,-40,2755.0,
2026-05-12,PARLAY,824442+824521+823712,3-parlay,3,3-串（守護者 勝、紅人 勝、雙城 勝）,9.772,0.1859,0.1023,0.8172,PARLAY,0.014,40,2755.0,LOSS,-40,2715.0,
2026-05-13,MLB,823791,single,1,釀酒人 勝,1.837,0.6132,0.5444,0.0688,B,0.0302,80,2715.0,LOSS,-80,2635.0,
2026-05-13,MLB,824763,single,1,紅襪 勝,1.97,0.5692,0.5076,0.0616,B,0.025,70,2635.0,WIN,68.0,2703.0,
2026-05-13,MLB,822900,single,1,遊騎兵 勝,2.004,0.541,0.499,0.042,B,0.0168,50,2703.0,WIN,50.0,2753.0,
2026-05-13,PARLAY,823791+824763,2-parlay,2,2-串（釀酒人 勝、紅襪 勝）,3.619,0.349,0.2763,0.2632,PARLAY,0.0151,40,2753.0,LOSS,-40,2713.0,
2026-05-13,PARLAY,823791+822900,2-parlay,2,2-串（釀酒人 勝、遊騎兵 勝）,3.681,0.3317,0.2717,0.2212,PARLAY,0.0124,30,2713.0,LOSS,-30,2683.0,
2026-05-13,PARLAY,824763+822900,2-parlay,2,2-串（紅襪 勝、遊騎兵 勝）,3.948,0.3079,0.2533,0.2157,PARLAY,0.011,30,2683.0,WIN,88.0,2771.0,
