date,bankroll_open,total_bet,total_pnl,bankroll_close,bets_count,wins,losses,single_bets,parlay_bets,highest_odds_hit,notes
2026-05-10,3000.0,820,-259.0,2741.0,10,2,8,4,6,2.223,
2026-05-11,2741.0,140,-140.0,2601.0,1,0,1,1,0,0.0,
2026-05-12,2601.0,700,114.0,2715.0,10,4,6,4,6,4.198,
2026-05-13,2715.0,320,36.0,2751.0,7,3,4,3,4,3.948,
2026-05-14,2751.0,580,-530.0,2221.0,10,0,10,4,6,0.0,
2026-05-15,2221.0,700,-235.0,1986.0,11,2,9,4,7,1.946,
2026-05-16,1986.0,360,555.0,2541.0,7,3,4,3,4,5.276,
2026-05-17,2541.0,690,-435.0,2106.0,13,2,11,4,9,2.041,
