date,sport,game_id,bet_type,legs,bet_label,odds,true_prob,implied_prob,edge,grade,kelly_frac,bet_amount,bankroll_before,result,pnl,bankroll_after,notes
2026-05-01,MLB,824041,single,1,洛杉磯天使 勝,2.17,0.5327,0.4608,0.0719,A,0.02,100,3000.0,LOSS,-100,2900.0,
2026-05-01,MLB,823877,single,1,邁阿密馬林魚 勝,2.923,0.4025,0.3421,0.0604,B,0.011,50,2900.0,LOSS,-50,2850.0,
2026-05-01,PARLAY,824041+823877,2-parlay,2,2-串（洛杉磯天使 勝、邁阿密馬林魚 勝）,6.343,0.2144,0.1577,0.3601,PARLAY,0.0067,20,2850.0,LOSS,-20,2830.0,
2026-05-02,MLB,824771,single,1,波士頓紅襪 勝,2.321,0.5158,0.4308,0.085,A,0.0224,110,2830.0,LOSS,-110,2720.0,
2026-05-02,MLB,824685,single,1,AZ 勝,2.603,0.4498,0.3842,0.0656,B,0.0128,60,2720.0,LOSS,-60,2660.0,
2026-05-02,MLB,824042,single,1,洛杉磯天使 勝,2.23,0.5048,0.4484,0.0563,B,0.0123,50,2660.0,WIN,62.0,2722.0,
2026-05-02,PARLAY,824771+824685,2-parlay,2,2-串（波士頓紅襪 勝、AZ 勝）,6.042,0.232,0.1655,0.4017,PARLAY,0.008,20,2722.0,LOSS,-20,2702.0,
2026-05-02,PARLAY,824771+824042,2-parlay,2,2-串（波士頓紅襪 勝、洛杉磯天使 勝）,5.176,0.2604,0.1932,0.3476,PARLAY,0.0083,20,2702.0,LOSS,-20,2682.0,
2026-05-02,PARLAY,824771+824685+824042,3-parlay,3,3-串（波士頓紅襪 勝、AZ 勝、洛杉磯天使 勝）,13.473,0.1171,0.0742,0.5777,PARLAY,0.0046,10.0,2682.0,LOSS,-10.0,2672.0,
2026-05-03,MLB,823387,single,1,匹茲堡海盜 勝,2.027,0.5675,0.4933,0.0742,A,0.022,100,2672.0,WIN,103.0,2775.0,
2026-05-03,MLB,822987,single,1,坦帕灣光芒 勝,2.078,0.5412,0.4812,0.06,B,0.0139,60,2775.0,WIN,65.0,2840.0,
2026-05-03,PARLAY,823387+822987,2-parlay,2,2-串（匹茲堡海盜 勝、坦帕灣光芒 勝）,4.212,0.3071,0.2374,0.2937,PARLAY,0.0091,30,2840.0,WIN,96.0,2936.0,
2026-05-04,MLB,824120,single,1,堪薩斯城皇家 勝,2.074,0.534,0.4822,0.0519,B,0.012,60,2936.0,WIN,64.0,3000.0,
2026-05-05,MLB,824682,single,1,芝加哥小熊 勝,2.644,0.5044,0.3782,0.1262,A,0.0304,150,3000.0,WIN,247.0,3247.0,
