date,bankroll_open,total_bet,total_pnl,bankroll_close,bets_count,wins,losses,single_bets,parlay_bets,highest_odds_hit,notes
2026-04-01,3000.0,720,698.0,3698.0,5,4,1,4,1,4.076,
2026-04-02,3698.0,470,-104.0,3594.0,3,1,2,2,1,2.226,
2026-04-03,3594.0,910,-101.0,3493.0,5,2,3,4,1,2.319,
2026-04-04,3493.0,1020,-595.0,2898.0,5,1,4,4,1,2.216,
2026-04-05,2898.0,700,-445.0,2453.0,5,1,4,4,1,1.705,
2026-04-06,2453.0,520,573.0,3026.0,5,4,1,4,1,4.45,
2026-04-07,3026.0,620,397.0,3423.0,5,3,2,4,1,4.995,
2026-04-08,3423.0,740,-690.0,2733.0,5,0,5,4,1,0.0,
2026-04-09,2733.0,130,-130.0,2603.0,1,0,1,1,0,0.0,
2026-04-10,2603.0,440,197.0,2800.0,4,3,1,4,0,2.104,
2026-04-11,2800.0,530,-10.0,2790.0,5,2,3,4,1,2.252,
2026-04-12,2790.0,520,751.0,3541.0,5,5,0,4,1,4.616,
2026-04-13,3541.0,730,-153.0,3388.0,5,2,3,4,1,1.977,
2026-04-14,3388.0,780,-512.0,2876.0,5,1,4,4,1,1.798,
2026-04-15,2876.0,620,-228.0,2648.0,5,2,3,4,1,2.08,
2026-04-16,2648.0,590,-12.0,2636.0,5,2,3,4,1,2.123,
2026-04-17,2636.0,660,496.0,3132.0,5,4,1,4,1,3.956,
2026-04-18,3132.0,680,917.0,4049.0,5,4,1,4,1,5.491,
2026-04-19,4049.0,550,-195.0,3854.0,4,2,2,4,0,2.04,
2026-04-20,3854.0,230,219.0,4073.0,3,3,0,3,0,1.963,
2026-04-21,4073.0,830,113.0,4186.0,5,2,3,4,1,2.047,
2026-04-22,4186.0,820,-177.0,4009.0,5,2,3,4,1,1.872,
2026-04-23,4009.0,410,-234.0,3775.0,3,1,2,3,0,1.842,
2026-04-24,3775.0,930,131.0,3906.0,5,3,2,4,1,1.851,
2026-04-25,3906.0,660,-384.0,3522.0,4,1,3,4,0,1.774,
2026-04-26,3522.0,820,632.0,4154.0,5,4,1,4,1,3.62,
2026-04-27,4154.0,1090,-94.0,4060.0,5,2,3,4,1,2.281,
2026-04-28,4060.0,1040,421.0,4481.0,5,3,2,4,1,4.356,
2026-04-29,4481.0,1160,2077.0,6558.0,5,4,1,4,1,7.01,
2026-04-30,6558.0,1610,-827.0,5731.0,5,1,4,4,1,2.331,
2026-05-01,5731.0,1710,1110.0,6841.0,5,4,1,4,1,3.375,
2026-05-02,6841.0,730,695.0,7536.0,4,4,0,4,0,2.082,
2026-05-03,7536.0,2010,-579.0,6957.0,5,2,3,4,1,2.027,
2026-05-04,6957.0,930,471.0,7428.0,4,3,1,4,0,2.074,
2026-05-05,7428.0,1850,-1151.0,6277.0,5,1,4,4,1,2.245,
2026-05-06,6277.0,2220,-1262.0,5015.0,5,1,4,4,1,1.763,
2026-05-07,5015.0,1500,-776.0,4239.0,5,1,4,4,1,1.768,
2026-05-08,4239.0,710,-93.0,4146.0,3,1,2,2,1,1.873,
2026-05-09,4146.0,630,-291.0,3855.0,4,1,2,4,0,1.985,
2026-05-10,3855.0,750,-38.0,3817.0,5,2,3,4,1,2.223,
2026-05-11,3817.0,200,-200.0,3617.0,1,0,1,1,0,0.0,
2026-05-12,3617.0,660,154.0,3771.0,5,3,2,4,1,2.34,
2026-05-13,3771.0,260,37.0,3808.0,3,2,1,3,0,2.004,
2026-05-14,3808.0,470,-440.0,3368.0,4,0,4,4,0,0.0,
2026-05-15,3368.0,640,28.0,3396.0,5,2,3,4,1,1.946,
2026-05-16,3396.0,730,1141.0,4537.0,4,3,1,3,1,5.276,
2026-05-17,4537.0,660,-235.0,4302.0,4,2,2,4,0,2.041,
