date,bankroll_open,total_bet,total_pnl,bankroll_close,bets_count,wins,losses,voids,single_bets,parlay_bets,highest_odds_hit,notes
2026-04-01,3000.0,70,496.0,3496.0,3,2,1,0,0,3,14.985,
2026-04-02,3496.0,10,-10.0,3486.0,1,0,1,0,0,1,0.0,
2026-04-03,3486.0,100,-100.0,3386.0,2,0,2,0,0,2,0.0,
2026-04-04,3386.0,120,-120.0,3266.0,3,0,3,0,0,3,0.0,
2026-04-05,3266.0,10,-10.0,3256.0,1,0,1,0,0,1,0.0,
2026-04-06,3256.0,50,189.0,3445.0,2,1,1,0,0,2,5.971,
2026-04-07,3445.0,90,160.0,3605.0,3,1,2,0,0,3,4.995,
2026-04-08,3605.0,100,-90.0,3515.0,3,0,3,0,0,3,0.0,
2026-04-09,3515.0,10,-10.0,3505.0,1,0,1,0,0,1,0.0,
2026-04-10,3505.0,10,-10.0,3495.0,1,0,1,0,0,1,0.0,
2026-04-11,3495.0,80,-80.0,3415.0,3,0,3,0,0,3,0.0,
2026-04-12,3415.0,60,171.0,3586.0,2,1,1,0,0,2,4.616,
2026-04-13,3586.0,60,-60.0,3526.0,2,0,2,0,0,2,0.0,
2026-04-14,3526.0,50,178.0,3704.0,2,1,1,0,0,2,5.709,
2026-04-15,3704.0,40,147.0,3851.0,2,1,1,0,0,2,6.228,
2026-04-16,3851.0,10,-10.0,3841.0,1,0,1,0,0,1,0.0,
2026-04-17,3841.0,10,-10.0,3831.0,1,0,1,0,0,1,0.0,
2026-04-18,3831.0,10,-10.0,3821.0,1,0,1,0,0,1,0.0,
2026-04-19,3821.0,70,-70.0,3751.0,2,0,2,0,0,2,0.0,
2026-04-20,3751.0,10,-10.0,3741.0,1,0,1,0,0,1,0.0,
2026-04-21,3741.0,50,-50.0,3691.0,2,0,2,0,0,2,0.0,
2026-04-22,3691.0,50,-50.0,3641.0,2,0,2,0,0,2,0.0,
2026-04-23,3641.0,10,-10.0,3631.0,1,0,1,0,0,1,0.0,
2026-04-24,3631.0,10,-10.0,3621.0,1,0,1,0,0,1,0.0,
2026-04-25,3621.0,10,-10.0,3611.0,1,0,1,0,0,1,0.0,
2026-04-26,3611.0,40,-40.0,3571.0,2,0,2,0,0,2,0.0,
2026-04-27,3571.0,10,-10.0,3561.0,1,0,1,0,0,1,0.0,
2026-04-28,3561.0,10,-10.0,3551.0,1,0,1,0,0,1,0.0,
2026-04-29,3551.0,140,421.0,3972.0,3,1,2,0,0,3,7.01,
2026-04-30,3972.0,50,0.0,3972.0,2,0,0,2,0,2,0.0,
2026-05-01,3972.0,10,-10.0,3962.0,1,0,1,0,0,1,0.0,
2026-05-02,3962.0,10,-10.0,3952.0,1,0,1,0,0,1,0.0,
2026-05-03,3952.0,10,-10.0,3942.0,1,0,1,0,0,1,0.0,
2026-05-04,3942.0,10,-10.0,3932.0,1,0,1,0,0,1,0.0,
2026-05-05,3932.0,90,-90.0,3842.0,3,0,3,0,0,3,0.0,
2026-05-06,3842.0,120,-120.0,3722.0,2,0,2,0,0,2,0.0,
2026-05-07,3722.0,160,-160.0,3562.0,3,0,3,0,0,3,0.0,
2026-05-08,3562.0,10,-10.0,3552.0,1,0,1,0,0,1,0.0,
2026-05-09,3552.0,60,-60.0,3492.0,2,0,2,0,0,2,0.0,
2026-05-10,3492.0,90,-90.0,3402.0,3,0,3,0,0,3,0.0,
2026-05-11,3402.0,50,-50.0,3352.0,2,0,2,0,0,2,0.0,
2026-05-12,3352.0,60,-60.0,3292.0,2,0,2,0,0,2,0.0,
2026-05-13,3292.0,10,-10.0,3282.0,1,0,1,0,0,1,0.0,
2026-05-14,3282.0,10,-10.0,3272.0,1,0,1,0,0,1,0.0,
2026-05-15,3272.0,10,-10.0,3262.0,1,0,1,0,0,1,0.0,
2026-05-16,3262.0,70,0.0,3262.0,2,0,0,2,0,2,0.0,
2026-05-17,3262.0,10,-10.0,3252.0,1,0,1,0,0,1,0.0,
2026-05-18,3252.0,10,-10.0,3242.0,1,0,1,0,0,1,0.0,
2026-05-19,3242.0,0,0,3242.0,0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-05-20,3242.0,10,-10.0,3232.0,1,0,1,0,0,1,0.0,
2026-05-21,3232.0,0,0,3232.0,0,0,0,0,0,0,0,無賽事
2026-05-22,3232.0,0,0,3232.0,0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-05-23,3232.0,90,-80.0,3152.0,3,0,3,0,0,3,0.0,
2026-05-24,3152.0,40,127.0,3279.0,2,1,1,0,0,2,5.578,
2026-05-25,3279.0,10,0.0,3279.0,1,0,0,1,0,1,0.0,
2026-05-26,3279.0,150,-150.0,3129.0,3,0,3,0,0,3,0.0,
2026-05-27,3129.0,0,0,3129.0,0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-05-28,3129.0,10,0.0,3129.0,1,0,0,1,0,1,0.0,
2026-05-29,3129.0,0,0,3129.0,0,0,0,0,0,0,0,無賽事
2026-05-30,3129.0,0,0,3129.0,0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-05-31,3129.0,10,-10.0,3119.0,1,0,1,0,0,1,0.0,
2026-06-01,3119.0,0,0,3119.0,0,0,0,0,0,0,0,無賽事
2026-06-02,3119.0,60,-60.0,3059.0,2,0,2,0,0,2,0.0,
2026-06-03,3059.0,10,0.0,3059.0,1,0,0,1,0,1,0.0,
2026-06-04,3059.0,0,0,3059.0,0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-06-05,3059.0,0,0,3059.0,0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-06-06,3059.0,10,-10.0,3049.0,1,0,1,0,0,1,0.0,
2026-06-07,3049.0,10,-10.0,3039.0,1,0,1,0,0,1,0.0,
2026-06-08,3039.0,10,-10.0,3029.0,1,0,1,0,0,1,0.0,
2026-06-09,3029.0,70,245.0,3274.0,2,2,0,0,0,2,4.505,
2026-06-10,3274.0,160,-160.0,3114.0,3,0,3,0,0,3,0.0,
2026-06-11,3114.0,0,0,3114.0,0,0,0,0,0,0,0,無 Edge≥4% 選場
2026-06-12,3114.0,80,116.0,3230.0,3,1,2,0,0,3,4.908,
2026-06-13,3230.0,70,210.0,3440.0,2,1,0,1,0,2,4.502,
2026-06-14,3440.0,50,-50.0,3390.0,2,0,2,0,0,2,0.0,
2026-06-15,3390.0,0,0,3390.0,0,0,0,0,0,0,0,無賽事
